"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Changing settings with invalid data","","0","0","2","0","0"
"","Filter payments by date redirection","","0","0","2","0","0"
"","Changing settings with valid data","","0","0","2","0","0"
"","Logout","","0","0","2","0","0"
"","Like the transaction","","0","0","2","0","0"
"","Login with invalid Username","","0","0","1","0","0"
"","Creating Bank Account with invalid data","","0","0","2","0","0"
"","Adding new transaction with invalid data","","0","0","2","0","0"
"","Adding a comment to the transaction","","0","0","2","0","0"
"","Creating Bank Account with valid data","","0","0","2","0","0"
"","Adding new transaction with valid data","","0","0","2","0","0"
"","Valid Login","","0","0","1","0","0"
"","Redirection to the personal payments list","","0","0","2","0","0"
"","Deleting the notification","","0","0","2","0","0"
"","Filter payments by amount redirection","","0","0","2","0","0"
"","Redirection to the Notifications page","","0","0","2","0","0"
"","Login with invalid Password","","0","0","1","0","0"
"","Valid sign up","","0","0","1","0","0"
"","Redirection to the contacts payments list","","0","0","2","0","0"
"","Invalid sign up","","0","0","1","0","0"
